start	end	text
143080	146880	и недавно в Сбере была какая-то дичайшая бага как раз с тестовой версией приложения.
147400	150080	Значит, для взаимодействия со смарт-контрактом,
150480	154660	то есть для отправки вот такой же, вот такой вот транзакции,
155300	159420	вот, в которой, как я говорил, находятся вот здесь вот в импуте,
159700	163420	закодировано, какую функцию данного смарт-контракта я хочу вызвать.
163620	166600	То есть я хочу бросить транзакцию вот на этот адрес
166600	170200	и вызвать такую-то функцию с такими-то парами.
170320	172880	Они здесь упакованы, конечно, но, тем не менее,
174000	175160	выглядит это следующим образом.
175160	177260	Ну, там, предположим, я хочу там включить,
177400	181880	не знаю, свой, там, эфир, как калатору.
182780	185180	Я сейчас отправлю, по сути, как бы, функцию, которая говорит,
185320	189440	типа, разреши мне посылать, там, не знаю, эфир в этот смарт-контракт.
189500	191440	То есть у него внутри произойдет запись.
192180	194020	Для клиента это выглядит вот таким вот образом.
194640	197220	То есть у него всплывает вот этот вот метамаск
197220	201600	или какой там у вас есть, там, не знаю, там, кошелек там какой-нибудь
201600	204120	и предлагает эту транзакцию подписать.
204120	206200	Я эту транзакцию подтверждаю.
207400	210220	Я не отправляю никакого эфира, вот.
210240	212720	Но мне, конечно, придется заплатить за эту транзакцию.
212880	213700	Сейчас надо нажать.
214680	215080	Вот.
216020	217640	И все, транзакция, как бы, поехала.
218420	220820	Я жду, пока она, там, что-то там заманится,
220940	223240	пока майнеры ее примут, пока они включат блок,
223360	224300	пока, как бы, но...
224300	229200	Я тоже не особо любитель плюс-сайза, да и таковым не являюсь.
229680	231080	Я думаю, что...
231080	232500	Никита, выключи микрофон.
234020	234420	Да.
234860	237080	И, соответственно, теперь, когда транзакция дошла,
237400	239000	то собновился, вот.
239120	242040	И, соответственно, эфир, как бы, теперь у меня включен.
242100	244780	Я могу теперь его, там, например, не знаю, там,
245120	248440	какое-то количество этого эфира положить, там, не знаю, процент, например.
249200	250720	Будет выглядеть все точно так же.
251620	254540	В чем, как бы, ну, как бы, удобство веб-три приложения,
254600	257820	что я вот ровно таким же образом хожу, там, в сотни проектов
257820	260860	абсолютно разных, как бы, могу делать в них, как бы,
260860	263520	все делать при помощи одного и того же, не знаю,
263620	266800	даже одного и того же адреса, одного и того же, вот, этого расширения.
267840	271680	Нигде, как видите, нет никаких ни логинов, ни регистрации,
271740	273300	вообще ничего, как бы, этого добра нет.
273420	275200	Все свалено на пользователя.
275400	279520	То есть за безопасность своих адресов, своей крипты, я отвечаю сам.
279620	282720	То есть никто мне здесь не поможет никаких, там, восстановить аккаунт,
282820	283860	ничего этого нету.
285160	290360	А так, на секунду, так, вообще, как бы, взломы аккаунтов, угоны,
290360	292600	короче говоря, получение персональных данных,
292720	296200	оно в Web2-сервисах, в разных, там, почтах, как бы, сервисах
296200	297280	очень часто делается.
297400	300560	Как раз через функции восстановления доступа к аккаунту.
301060	304280	Всякие вот эти секретные вопросы, Wi-Fi и так далее.
304400	307140	Вы все это, как бы, в security штуках, как бы, видели.
307820	310200	Ну, вот я положил, там, сколько-то, там, 0.12 эфира,
310280	313240	положил под 11% годовых, все, они там валяются,
313320	314560	потом захочу, как бы, вытащу.
315560	317720	Вот, то есть все, как бы, довольно просто.
318680	320740	И с точки зрения разработки ваших проектов,
320740	323600	это тоже достаточно, как бы, удобно, потому что вы пишете,
324020	326740	ну, если так, в минимальном варианте, то вы пишете смарт-контракт,
327400	331940	деплойте, выкладываете его в сеть, куда-нибудь, там, не знаю, в тест-нет-герле,
332600	336440	и пишете просто на Node.js какой-то, там, простейший, как бы, интерфейс.
337540	341740	Ну, как бы, за этим интерфейсом, там, коду, на самом деле,
341820	344380	там, на три строчки буквально, которые с эфиром общаются,
344520	348340	потому что вся бизнес-логика, по сути, находится там где-то, в тест-нете.
349540	356400	Вот, а бэкэнд вам нужен для того, чтобы на вашем проекте показывать,
356400	357380	ну, всякие, там, цифры.
357400	360800	Цифры, агрегации, там, сколько, там, не знаю, какие там проценты,
361220	364700	total balances, вы можете взять, брать что-то из контрактов,
365380	368580	но что-то вам понадобится, там, агрегировать, собирать статистику,
368680	370460	чтобы пользователю дать больше информации,
370540	372560	и для этого как раз используются бэкэнды, вот,
372640	374400	поэтому с этой точки зрения Web3-разработка,
375620	378400	она включает в себя, в том числе и Web2-разработка,
379100	381340	то есть вам надо, там, курсы какие-то там переводить,
381420	383420	еще что-нибудь, в общем, все это делается на бэке.
384700	387000	Вот, значит, поехали.
387400	389900	Значит, что происходит с транзакцией?
390380	393000	На самом деле, на начальном этапе, когда мы ее только кинули,
393080	396040	когда она попала в ноду, у нее, конечно, нету ни хэша-блоков,
396080	399980	в которые она была включена, ни номера блока, вот,
400140	404580	неизвестно, сколько она потратила газа, эта транзакция,
405000	407080	то есть после того, как она была, как бы, замайнена.
407860	412360	У нее непонятно, на какой позиции в блоке она находится, вот,
412400	415140	но, в принципе, все остальное, как бы, оно, в общем-то, одно и то же,
415140	416240	то есть вот здесь подпись,
416240	421240	сколько эфира она на себе тащит, ее, соответственно, нагрузка,
421840	422980	вот этот hex bytes.
423700	427680	Кстати, что интересно, как бы, хакеры бывают, ну, точнее, не бывают,
427780	430100	когда довольно часто переписываются с проектами
430100	432880	вот посредством вот этих hex bytes,
433080	435540	то есть вы можете отправить там транзакцию кому-нибудь с эфиром
435540	440040	и здесь написать в комментарии, типа, вот, как бы, не знаю, там,
440220	443080	спасибо за хак, короче говоря, вот, заберите часть денег.
444320	445960	То есть бывает такое.
446240	449660	Что и с хакерами переписываются, собственно, через вот эти вот hex bytes тоже бывает.
451120	455640	Значит, что происходило вот здесь, когда я работал с Metamask?
456180	458620	Сделал транзакцию, подписал транзакцию,
459340	461860	затем мой вот этот вот Metamask,
462460	465380	я напоминаю, это не ваше приложение,
465680	468700	то есть не ваш DAP сделал эту транзакцию,
468860	472440	ну, точнее, он ее изготовил, эту транзакцию сформировал,
472440	475520	а подписал и отправил ее именно как раз Metamask,
476240	478480	никакой JS с вашей страницы этого не делает,
478580	482800	это делает расширение в валюту, то есть саму транзакцию отправляет, вот.
483960	486340	Ну, а здесь, как бы, в JS-ке вы можете сделать, там, не знаю,
486440	491100	PubSub, там, подписаться, там, на обновление, там, от Metamask, там, от ноды, как бы,
491160	495460	и в нужный момент, когда пришла информация, что все, транзакция включена,
495560	499380	как бы, галочки переключилась, стейт изменился.
500160	504160	Соответственно, там используется обычный, там, JSON-RPC интерфейс,
504160	509480	обычно у нод есть, как бы, два интерфейса, HTTPS и WebSockets,
509580	513660	WebSockets, которые позволяют, как бы, вам держать все время открытым соединение,
513760	516260	то есть если вам надо, как бы, там, непрерывно получать апдейты,
516360	520160	все время страничку обновлять, как бы, это более удобно, ну, вот.
520260	524460	Здесь, как бы, все стандартно, и поэтому, как бы, ноды, они, по сути,
524560	528960	представляют собой, ну, так, для внешнего наблюдателя, по сути, такой веб-сервер,
529060	533780	который прям JSON-RPC API, то есть открытые порты, как бы, вы можете,
534160	538320	туда кинуть какой-нибудь запрос, и он вам в ответ, как бы, ответит,
538400	543380	как бы, можете кинуть, там, послать транзакцию, и нода, как бы, отправит транзакцию.
544380	548940	Значит, что делает нода? Нода валидирует транзакцию, чтобы ее, там,
548980	553480	мусором не закинули, всякие черновые проверки, кладет, как торрент,
553560	559220	как бы, начинает раздавать, как бы, через торрент и, там, через P2P эту транзакцию, вот.
560120	563220	Причем, там, есть, по сути, как бы, несколько,
564160	569220	несколько протоколов, по которым они работают, там, родной эфирный P2P,
570080	574140	есть стэк, как бы, который использует другие ноды, вот, то есть, несколько вариантов,
574240	577260	как бы, но смысл один и тот же, то есть, нода рассказывает другим, типа,
577360	581520	чуваки, у меня есть, вот, новые хэши транзакций, кому надо, как бы, если хотите,
581620	585440	я вам, типа, перешлю тело этих транзакций, ну, чтобы дважды, как бы, не слать.
586320	591560	Вот, наконец, она добирается, там, до майнера, вот, и, соответственно, майнер,
594160	600500	ее применяет. Значит, затем, ну, и после этого, после того, как, как бы,
600540	605420	нода объявила о транзакции полной ноды, она стоит и ждет, как бы, новых блоков,
605520	609880	подписывается на все, как бы, новые блоки. Когда прилетает новый блок,
610580	614540	она узнает, что, как бы, я жду результатов вот этой транзакции,
614620	617900	то есть, когда она будет включена в блок, она, по сути, как бы, подписана, в общем,
617940	623440	на эти события, вот, она получает новый блок, проверяет его, выбирает,
623440	628120	в соответствии с консенсусом, годится ли этот блок или нет, как бы, попадает ли он
628120	633380	в основную цепочку, в мастер-чейн. Если и надо, как бы, как я там показывал
633380	638300	на схемах, как бы, откатывать, может быть, предыдущие блоки и накатывать вот эти вот
638300	643920	новые, вот, с ревертом, как бы, всех транзакций. Затем накатывает все транзакции
643920	649340	из вот этого нового блока на свою state database. Вот, возможно, среди этих
649340	653420	транзакций есть и наша, вот. И как раз вот в этот момент,
653440	659260	когда она применяет, как бы, этот, ну, применяет, по сути, блок, бежит по
659260	663160	транзакциях и делает вот эту вот apply, вот ровно в этом месте работает код
663160	669360	контракта. Прямо здесь как раз запускается виртуальная машина, вот, и вот здесь, как
669360	674400	бы, она бежит-бежит, как бы, по транзакции, по сути, исполняет, как бы, код контракта.
674400	683060	Вот. Далее она решает, как я говорил, любой smart-контракт, любой вызов к smart-контракту
683060	688160	заканчивается всего двумя исходами, да, типа, все окей, как бы, и реверт, и в случае реверта,
688160	694400	как бы, ну, ничего не происходит. То есть никаких изменений абсолютно, как бы, вот, кроме, как бы,
694400	700040	списания денег с баланса отправителя за потраченный газ. А в самой state database,
700040	704360	как бы, там, во всех, там, данных контракта никаких значений, никаких изменений не происходит.
704360	712340	После чего она обновляет state root, вот это вот в дерево организованное значение, грубо говоря,
713060	719780	state, ну, hash state database, такой общий, который, как бы, зависит от всех значений этой базы
719780	725780	данных, и, соответственно, проставляет транзакции, как бы, сколько было потрачено газа, какой блок
725780	732260	она была включена, там, какой индекс, и так далее, и так далее. В этот момент наш metamask, как бы,
732260	739040	висит на этой ноде, там, по вебсокетам или опрашивает ее по HTTPS, вот, и ждет, когда
739040	743000	появится информация о его транзакции. Значит, приходит новый блок,
743060	749540	он ждет, как бы, будет ли доказательство того, что моя транзакция попала в мой блок. Здесь, как раз,
749540	755960	используются вот эти вот merkle proof, то есть доказательство того, что транзакция, она, как бы,
755960	761060	в блок попала, в то время как в блоке есть буквально одно только число. Ну, про меркл деревья мы с вами
761060	766960	обязательно, там, поговорим подробно, это широко используемый паттерн в блокчейнах. То есть она ждет,
766960	772500	как бы, еще и доказательство того, что транзакция в текущий блок попала, вот.
773060	780060	Затем получает, соответственно, апдейты от ноды, как бы, ну, там, она запрашивает, там, любые, там,
780060	788540	интересные значения, например, там, включен ли флажок он для эфира для вот этого адреса клиента,
788540	796220	который, как бы, запросил. Если да, то он там что-то отрисовывает. Вот, она это все дело опрашивает,
796220	799880	и, как бы, после того, как понятно, что транзакция включена, все изменилось, как бы,
799880	802940	все данные из контрактов получены, она апдейтит мордочку.
803060	807380	Вот, то есть выглядит весь вот этот цикл таким образом.
807380	815020	Кто является клиентами? То есть кто может дергать, как бы, оперировать эфиром? Значит,
815020	820460	самые популярные это браузеры вот с этими расширениями, там, помимо Metamask есть еще много,
820460	827540	там, всего. Есть, там, просто десктопные программы-клиенты, но браузеры, они, почему они,
827540	833060	как бы, наиболее популярны? Ну, потому что, как я сказал, как бы, я своим браузером бегаю, там, я
833060	837860	не знаю, по десяткам, как бы, проектов, что хочу, там, закладываю, перекладываю, как бы, как угодно,
837860	846140	там, не знаю, в финансы регистрируюсь, играю, там, в игры, там, NFT какие-нибудь создаю, и все это
846140	851720	делается при помощи, по сути, одного расширения в этом браузере. Это крайне удобно. Вот, то есть,
851720	856040	как бы, тот, у кого, как бы, есть на балансе эфир, по сути, имеет доступ, там, к сотням разных
856040	862340	финансовых инструментов, совершенно, там, разных типов, как бы, и, там, возможностям, там, десяткам
863060	872540	и вообще кучу всего. Все это при помощи буквально одной софтины. Но есть еще, мы тоже будем про них
872540	877840	говорить, это, наверное, самый надежный способ защитить отдельный адрес, это железные ключи
877840	885500	хардварные. Это такие типа флешки, как бы, штуки, вставляются в USB, и их основная суть, то, что у
885500	891860	них внутри зашит приватный ключ, они никогда его в жизни наружу не показывают. Вот, ты в эту флешку,
891860	893040	как бы, ну, ты в этот ключ, как бы, не можешь, ну, как бы, не можешь, ну, ты в этот ключ, как бы,
893040	899660	передаешь транзакцию а он в ответе выдает ее подпись то есть типа да я подписал вот и там
899660	904980	если там например кнопочка есть на этой флешке то хакера как бы даже полностью захватив компьютер
904980	912000	он не может получить не может получить доступ к этой кнопочки то есть как минимум там нажать
912000	920640	нажать confirm и подписать за вас ну и там это маска умеет коннект с этими с этими ключами вот
920640	929400	в общем их рекомендуется использовать мобильные валятся значит то что вы набираете когда вы
929400	937120	наберете там эфириум wallet мобайл по большей части на самом деле это обрезанные браузеры такие
937120	943360	которые входят на ограниченное количество сайтов то есть без строки url ада как вас кучей там не
943360	949380	знаю там линков там favorites и тоже встроенные как бы истории управления ключами пока и это
949380	950580	имеется паблике и инфо
950640	956320	structure то есть там приватные публичные ключи адреса там и так далее вот то есть такие как
956320	961320	бы популярные браузеры мобильные кошельки это по сути как бы браузер для того чтобы ну им было
961320	967500	удобно ходить сюда там городить особо ничего не надо потому что джессон рпс и все стандартно все
967500	972660	как в вебе как бы особо что-то придумать как бы смысла нет если вы будете самописный валит там
972660	980260	писать на java вот вам придется реализовать вообще там ну ты фига там всяких взаимодействий там так
980260	980640	далее
980640	993660	и в этом же еще причина почему мобильщики не любят особо крипту значит потому что смотрите вы сделали
993660	1000440	какую-нибудь вас там мобилка у вас здесь ваша опка не знаю какая там крутая игра как бы там
1000440	1005360	здесь эфир значит можно чего-нибудь покупать продавать всякие там предметы игровые там какая
1005360	1010160	экономика интересная но для того чтобы каждую транзакцию вам отправить вам нужные подписались
1010640	1015780	Для этого вам нужен секретный ключик, личный ключик, адреса.
1016580	1023260	И зачастую вот это реализовать сложнее, чем реализовать всю вашу апку целиком.
1024160	1027840	Потому что ваша апка, там, не знаю, красивые картинки плюс несколько типов транзакций,
1028400	1034420	а вот здесь вот надо прям сильно поскрепеть, потому что здесь требования к безопасности очень высокие.
1034520	1039200	То есть вам придется, по сути, в свое приложение встроить валет.
1039200	1042320	А требования к валету, они крайне серьезные.
1042420	1046040	То есть здесь вы что-то там набажете, как бы это еще можно будет поправить,
1046560	1050340	а здесь что-нибудь не так сделаете, там, не знаю, генерацию адресов, там еще что-то.
1051580	1054340	И будет очень плохо, как бы валет поломают.
1055480	1058640	Вот, ну, буквально недавно там вот тоже дичайшая история в Салане.
1059060	1062860	То есть когда там было взломано, там, не знаю, сотни, как бы тысячи адресов,
1062940	1065780	огромное количество крипты было украдено как раз просто потому,
1065780	1068780	что один из валетов, он генерировал...
1069920	1072020	адреса несекьюрным образом.
1072640	1077480	Вот, там, секретный ключ из него, публичный из него, там, адрес, соответственно.
1078300	1083100	Он делал, ну, несекьюрно, как бы, и, по сути, это было взломано.
1084260	1086440	Так, нет. Нет, я нет, я набрал.
1086520	1089520	Нет, на самом деле, он не несекьюрный, да, я извиняюсь,
1089580	1095120	а он отправлял дебажную информацию, дебажную информацию в сервис-центре.
1095120	1099120	И там среди дебажной информации валялись, как бы, приватные клиенты.
1099220	1106180	То есть то, что полностью вз installing, ну, перiąдовACcurrency и там е-ч Biern el ...
1106500	1108180	كignment и и так далее,
1108180	1109760	поэтому, наверное, ещё иyn клиент,
1109780	1111260	поэтому его нужно вставить вот сюда,
1111260	1112480	так что weekends.
1112540	1117280	Ну, в общем, хоть и нелегче, но с генерацией адресов это вот,
1117320	1120040	буквально, совсем недавняя бага, вот.
1120120	1124720	Есть софт, который позволяет генерировать красивые адреса там с ноликами и так далее,
1124760	1127720	как бы, и, вот, в этой генерации была найдена уязвимость.
1127720	1131080	Все, кто автоматически ходят в эфир и шлют туда транзакции.
1132440	1133400	Что-то там запрашивают.
1134120	1137140	У них обычно приватные ключи в конфиге.
1137720	1141100	Пугаться тут вообще особо не нужно, потому что штука вообще простая.
1141200	1145840	На любом языке программирования, Python, Rust, JS и так далее,
1145840	1151000	есть там прям куча библиотек, которые вам позволят сгенерировать адрес эфириумный
1151000	1153380	и спокойно там все подписи ставить и так далее.
1153500	1156900	То есть все вообще делается на самом деле очень просто, там несколько строчек.
1156900	1161400	Вот, поэтому если вы что-то пишете автоматизированное, что работает там,
1161460	1163820	не знаю, с эфиром, как бы это очень просто.
1164700	1168120	Вот, то есть создать транзакцию, создать адрес, как бы создать ключ,
1168320	1169920	можно без особых проблем.
1171400	1175840	Вот, и еще, наверное, еще одна история про клиентов,
1176300	1179880	которые могут работать со смарт-контрактами, про которые часто забывают,
1180040	1181480	это различные девайсы.
1182400	1186880	Вот, на хакатонах довольно часто, как бы раньше там довольно популярно,
1186900	1190520	популярная штука была сейчас, по-моему, не очень уже стала, как бы популярная,
1190600	1193600	а так-то раньше, как бы много народа, как бы пытались соединить эти вещи.
1194880	1199200	Действительно удобно, как бы интернет вещей, ему блокчейн достаточно интересен,
1199240	1205460	просто потому что нет единой точки отказа, то есть плевать любая сеть, короче,
1205580	1210140	любая нода, как бы ваше устройство, считай, как бы подключено к сети, вот,
1210260	1215680	у вашего устройства есть приватный ключ, есть адрес, как бы, который никто, как бы,
1215680	1216780	там не остановит, как бы.
1216900	1221960	Никто им там особо, как бы, не управляет, вот, и оно там может всякие штуки делать.
1223920	1227480	Ну, у нас там знакомый проект, например, Робономика очень много занимается
1227480	1231400	соединением как раз всяких, там, не знаю, там роботов, датчиков, там, и так далее,
1231520	1233960	всего, как бы, с блокчейнами.
1234380	1239140	Если у вас есть какая-то девайсина, мы, например, делали там счетчик электричества,
1239140	1246580	там, 100 киловатт насчитал, он, соответственно, формирует транзакцию,
1246900	1250400	то есть, мое следующее показание – это 100 киловатт, значит, подписывает ее,
1251440	1254920	отправляет в сеть, у нас там была другая сеть, как бы, ну, неважно, например,
1255000	1260020	отправляет в эфир, а здесь смарт-контракт, как бы, принимает эти показания,
1260240	1265080	100 киловатт, у него есть, там, 90 предыдущие показания, как бы, теперь у него стало 100,
1266000	1273340	у него получается 10, и он за эти 10 списывает плату по текущей, там, цене,
1273340	1275620	как бы, за киловатт, то есть, такая, достаточно.
1276900	1281380	Понятная, как бы, история, и при этом, что, как бы, удобно, ни одного сервера нету,
1281740	1285580	ну, то есть, у вас нет ни облака, никаких, там, бэкэндов, никаких хайпи, короче,
1285640	1289660	у вас есть просто счетчик, и все, как бы, его просто как-нибудь подрубить, там, не знаю,
1289740	1295040	к Wi-Fi или куда-нибудь в сеть, он уже там сам разберется, там, достучится до какой-нибудь,
1295040	1300320	до какой-нибудь, там, из сотни нод публичных, и отправит, как бы, туда транзакцию,
1300320	1306560	вот он, там, считает, соответственно, показания, но для этого есть некоторые ограничения.
1306560	1318640	Технически, прошу прощения, в первую очередь, они связаны с тем, что такие девайсы должны быть
1318640	1323580	достаточно производительными, потому что им нужно будет сделать электронную подпись
1323580	1330400	с использованием вот такой электрической кривой, то есть, это арифметика с числами,
1330400	1336480	как бы, 256-битными, и на каком-нибудь, там, мелком каком-нибудь орудии,
1336560	1340460	там, которые еле-еле, там, как бы, что-то там пашет, как бы, вы, скорее всего,
1340460	1345880	такую подпись произвести не сможете. Ну, вот, а Raspberry Pi, например, может достаточно спокойно,
1345880	1352180	как бы, сформировать транзакцию и ее отправить. Вот, ну, и понятно, что там должна быть, там, сеть,
1352300	1357460	короче, там, вебка и так далее, то есть, возможность обращаться к ноде и сделать, по сути,
1357460	1361960	JSON-RPC вызов, вот, то есть, ну, это тоже хороший вариант, и вот.
1363560	1366460	Теперь, следующий такой кусочек.
1366560	1375620	Как бы, важный. Это ноды, то есть, сами, сами ноды, которые наши узлы, как бы, наши узлы вот этой
1375620	1382220	эфириум-сети. Кто-то из них майнером является, кто-то из них является, там, не знаю, валидатором,
1382220	1388880	все они умеют принимать, как бы, транзакции от пользователей, все они, как бы, друг другу,
1388880	1394520	как бы, про эти транзакции рассказывают, каждый из них, как бы, от других нод получает блоки,
1394520	1396520	тоже так.
1396560	1401460	То есть, они, как бы, строят цепочку по одним и тем же правилам, с одним и тем же консенсусом, вот.
1401460	1410660	Но, опять же, в централизованном мире, мы видим, как бы, такую историю, нам говорят, как бы, вот, у нас есть, типа, Монго,
1411860	1420460	она у нас, там, на четырех репликах, как бы, там, одна реплика, там, не знаю, в Китае, другая, там, в USA, как бы, третья реплика, там, не знаю, в России,
1421960	1425160	и вот между ними настроена репликация, вот они вот так общаются.
1425160	1426360	Вот этот софт, он одинаковый.
1426560	1431420	То есть, везде, как бы, здесь стоит Монго, здесь стоит Монго, здесь стоит Монго, здесь стоит Монго,
1431420	1436440	то есть, весь один и тот же код, один и тот же программный продукт одних и тех же версий.
1436440	1444440	Из-за того, чтобы я говорил, что эфир — это, как бы, в первую очередь, как бы, протокол, да, нежели имплементация,
1444440	1449420	у эфировских нод, у неё, вот, это вот просто самые, только известные, как бы,
1449420	1450540	имплементации ноды.
1450580	1452580	То есть, у вас здесь стоит здесь, здесь стоит Nethermind, написанный, там, не знаю,
1456560	1458260	на C-Sharp, здесь
1458260	1460100	GES на горшке написан,
1460420	1461660	здесь какой-нибудь
1461660	1464340	OpenEthereum, который на Rust
1464340	1466360	написан, как бы здесь стоит
1466360	1466840	Eragon,
1468600	1469380	такая чуть более
1469380	1472320	быстрая версия GES,
1472600	1474140	тоже на горшке написано.
1474700	1476360	Вот, и они все друг с другом, как бы
1476360	1478040	по одному и тому же протоколу,
1478040	1480240	в общем-то, общаются. Там есть у них отличия
1480240	1482080	в P2P, там, в стэках и так далее,
1482160	1484260	но, как бы, по большей части они все, как бы, друг друга
1484260	1485900	видят и друг друга понимают.
1486560	1488180	И в этом, собственно, крутость
1488180	1488820	как раз
1488820	1492420	всей вот этой вот истории,
