start	end	text
319920	322040	А вам нужно поддерживать консистентную базу.
322160	322980	У вас и здесь у Васи,
323000	324440	должно стать 100 долларов,
324500	326280	а у Пети, как бы, там, соответственно,
326320	327700	добавится 100 долларов на баланс.
327800	331460	И здесь вам надо как-то распространить эту информацию.
331520	332800	Здесь достаточно целостно.
333040	337000	И здесь есть прям, как бы, ключевая проблема безопасности.
337740	339680	Она в блокчейнах называется double spend,
341100	342080	ну, двойная трата.
342260	343980	Но относится она, конечно же,
344120	345260	ну, не только к блокчейну,
345300	347180	а вообще к распределенным системам.
347720	349120	То есть, если Вася вот здесь, вот, как бы,
349180	350600	потратит свои 100 долларов,
350600	352960	и одновременно вот здесь,
353000	354500	вот, потратит свои 100 долларов,
354580	356840	а у него на балансе всего, как бы, 100 долларов,
357980	359500	то, соответственно, возникнет конфликт.
359580	360960	Надо будет что-то делать там.
361000	362280	Соответственно, надо будет выяснить,
362320	364200	какая здесь транзакция была первая.
364280	366520	Здесь они могли, как бы, пока они там встретятся,
366540	367500	эти два сервера,
368000	370220	может, там, не знаю, интернет пропал в этот момент.
370240	373800	То есть проблем довольно много, как бы, существует.
374180	377280	И для этого в базах данных существуют механизмы,
377320	378920	которые называются репликация.
379760	382260	То есть реплики,
382260	384840	а вот эти вот, как бы, компьютеры,
384880	387020	которые принимают транзакции от пользователя,
387060	389440	причем, как бы, именно пишущие транзакции.
389480	393700	Пишущие – это инсерты, апдейты, делиты.
394160	397380	Кстати, базы данных, наверное, как бы, у многих, да, были, как бы, там,
398480	402140	более-менее, как бы, может быть, там, знаете, как бы, там, SQL.
402180	409100	В общем, все транзакции, которые записывают информацию в базу данных,
409140	412220	как бы, пишущие, там, вставка, апдейт и удаление,
412240	414080	информации, как бы, в базе данных,
414120	416600	они попадают в так называемые мастер-реплики.
416640	419260	То есть мастер – тот, кто пишет базу данных.
419300	424120	Потому что у сервисов может быть, там, не знаю, там, тысячи слейв-реплик,
424140	426660	то есть которые только отдают информацию только на чтение,
426680	428740	то есть они не записывают.
428760	432420	И вот эти вот алгоритмы называются алгоритмы репликации.
432440	436820	И в распределенных базах данных, как бы, в таких больших, там,
436840	440120	соответственно, они есть, если вам интересно про эти алгоритмы почитать,
440140	442060	это алгоритм известный Raft.
442060	444060	И второй, как бы, Paxos.
444080	448260	То есть он, ну, говорит о том, что, там, Noda, там, пошла сюда,
448280	451020	предложила, там, закоммитить какой-то блок транзакций,
451040	454880	это ей говорит «да, я согласна», значит, это все, там, за это голосуются,
454900	457540	собираются, там, голоса с других, как бы, реплик.
457560	461900	И там, если какой-то порог перевален, то, соответственно,
461920	463560	транзакция считается закоммитченной.
463580	466880	И есть, там, формальные доказательства, что, как бы, это надежно.
466900	471700	Вот. Но у всех этих алгоритмов,
471700	477560	которые используются в банках, они устойчивы только к падениям вот этих вот нод.
477580	481720	То есть к тому, что, там, где-то вырубится интернет или какой-то мусор будет отдан
481740	486640	в данном случае, они не защищены от, так называемого, византийского поведения.
486660	492640	Византин, там, ключевое слово «византин», Fault Tolerance.
493860	496840	То есть устойчивость к византийскому поведению.
496860	500760	У них этот парадигма называется Crush Fault Tolerance.
500780	501680	То есть, если что, они не могут, они не могут, они не могут, они не могут, они не могут, они не могут, они не могут.
501680	506380	Если что-то упадет и сломается, как бы, то, как бы, систему сдюжат, как бы, да.
506400	512020	Там, если осталось достаточное количество серверов, то потом DevOps включит новую реплику,
512040	517180	и она автоматически других догонится, как бы, и заполнится валидными данными.
517200	520860	Но если в этой сети появляется византийский участник,
520880	526940	а византийский имеется в виду такой, как бы, предатель, то есть, который намеренно действует зло,
526960	531680	то есть он не просто, как бы, выключает компьютер, хотя может, конечно, и просто выключить,
531700	534520	а он начинает дезинформировать другие ноды.
534540	537880	То есть он, у него захвачен вот этот компьютер, как бы, и он говорит, там,
537900	542400	Вася потратил здесь 30 долларов, этому, говорит, потратил 50 долларов.
542420	546360	То есть он вносит, как бы, хаос в работу, и система перестает работать.
546380	550540	Вот эта вот консистентность вот этих баз данных, как бы, она нарушается.
550560	555460	То есть они могут, ну, прийти, как бы, в состояние, что там на разных репликах разные данные.
555480	557080	Это можно эксплуатить.
557100	561320	Вот блокчейны, они являются, ну, то есть, как бы, истинным, там,
561320	564080	настоящим, они являются Byzantine Fault Tolerance.
564100	569700	То есть они устойчивы к тому, что в них находятся, прям, намеренно злые участники,
569720	574320	которые прям хотят, как бы, атаковать сеть, которые хотят, как бы, всех, там, завалить, как бы,
574340	579420	я не знаю, там, найти какой-то баг и заставить всю сеть остановиться.
579440	585760	Вот, поэтому, как бы, в блокчейнах требования к безопасности вот этих протоколов, они сильно выше.
585780	590940	Вот, ну, и эту безопасность обеспечивают они за счет экономики.
590940	596440	Там есть часть, как бы, именно, которая, по сути, как бы, является экономической безопасностью, вот.
596460	600100	То есть, там, будешь действовать, как бы, плохо, будешь, там, что-то не то делать,
600120	605180	будешь либо терять ресурсы вычислительные, как бы, если, там, нечестный майнер,
605200	607540	либо тебя будут наказывать, там, деньгами и так далее.
607560	609740	Обо всем этом мы очень подробно с вами поговорим.
609760	613440	То есть вот это вот самое, наверное, важное, как бы, свойство блокчейнов.
613460	619380	BFT, то есть, как бы, Byzantine Fault Tolerance, устойчивость к византийскому поведению.
619400	620760	При этом надо не забывать, что...
620760	628760	Требования, вот, к этому византийскому поведению, они, у них есть специальные численные параметры,
628780	633880	то есть соглашения, то есть, например, если взять современные алгоритмы консенсуса,
633900	638440	которые, там, типа, не майнинг, а такие детерминированные, то есть,
638460	645040	то там есть прям жесткое требование, что больше двух третей участников, вот этих, вот, как бы, нод,
645060	649820	которые протокол, которые производят блоки, которые обрабатывают транзакции,
649820	654460	они являются честными, то есть, честными имеется в виду, просто следуют протоколу,
654480	661480	то есть, скачали код с гитхаба и, как бы, в ключевых местах ничего не меняли, как бы, запустили ноду,
661500	665860	вот она работает, вот, в точности, как бы, так, как предписано протоколом.
666440	672500	Вот в случае, если вот это требование выполняется, то есть, если больше двух третей, как бы, являются честными,
673300	679560	то есть, по сути, формальное доказательство того, что сам блокчейн является византийско устойчивым.
679820	687000	Вот это вот оставшиеся меньше одной трети, как бы, участников, они могут быть сколь угодно, как бы, злыми,
687560	693280	там, любые действия предпринимать, как бы, пытаться, там, не знаю, там, что угодно сетью сделать, как бы, у них ничего не получится.
693760	698840	А вот если кто-то захватил больше двух третей, как бы, тогда, да, он, там, контролирует эту сеть.
699700	706720	Вот, если, как бы, злоумышленники захватили одну треть, прям ровно, если у вас, там, 99 нод, как бы, у злоумышленников есть 33,
707420	709680	то они в современных системах, они могут...
709820	716320	остановить блокчейн, то есть, они не могут, как бы, подсунуть, там, неверные данные, не могут, там, изменить, соответственно, там, код,
716400	722740	но они могут, по сути, просто остановить процессинг, вот, ну, просто вырубив свою одну треть, как бы, выключив ее,
723340	725100	и сеть, как бы, дальше не пойдет.
726380	732840	Вот, в общем, про все это поговорим, то есть, нам сегодня с вами, как бы, не важно, как они вот здесь вот договорились,
733380	739560	то есть, у них есть вот эти протоколы консенсуса, мы их будем рассматривать, там, proof of work, proof of stake, там,
739820	748840	и так далее, но нам для... с вами, как бы, важнее гораздо сегодня, как бы, процесс распространения транзакции в блокчейне,
748840	752600	то есть, и вообще для чего, ну, и как все внутри происходит.
753940	762680	Значит, сами блокчейны, их основная задача, вот у нас есть, там, не знаю, там, куча компьютеров, которые согласились следовать протоколу,
762840	768780	вы скачали с гитхаба, там, не знаю, ноду блокчейн, запустили ее, и вы, типа, согласились, типа,
769820	775900	сети, там, себя, там, честно вести, как бы, будут там, будут там что-то делать, значит, соответственно,
776540	778600	ради чего они все это делают.
779880	785460	На самом деле, во всех, все, биткоин, эфир, там, не знаю, там, полк и дот,
785860	793120	для нас с вами, как пользователей, мы заходим с вас, там, не знаю, там, на сайт на какой-нибудь крипту,
793120	797420	там, спрашиваем, там, какие там балансы, что там, какие там, не знаю, проценты, какие есть проекты,
797860	799780	регистрируем что-то в смарт-контрактах.
800360	804340	Мы общаемся с какой-то из вот этих нод, и откуда она берет информацию?
804440	811500	У нее есть на борту своя собственная база данных, вот, мы ее будем называть state database,
812540	818380	вот, state db, как бы, или даже просто там state, как бы, можно сказать, как бы, состояние блокчейна.
818960	825980	И вот эта вот база в блокчейнах, она ровно одна и та же с точностью до последнего бита,
825980	829620	то есть там нету, ну, если это рассматривать как табличку,
830380	834980	там, не знаю, там, у Васи, там, не знаю, 100 долларов, там, у Пети, там, 200 долларов,
835120	837940	ну, там, понятно, что там куча, может, разной инфы, как бы, хранится,
838580	845840	но вот эта вот база, она одна и только одна на всех абсолютных компьютерах сети,
845960	849480	которые следуют протоколу, вот, которые, как бы, честные, вот эти вот,
849700	853500	то есть если они все правильно сделали, как бы, с самого начала до самого конца,
853500	858440	у них будет ровно одна и та же версия вот этой базы, причем без лишних ключей,
858460	859500	то есть ничего.
859820	865700	Не часть базы будет верна, там, там, не, там, не с точностью, там, до каких-то копеек,
865820	871240	а вот просто чисто прямо в бинарном виде, то есть вот само битовое, как бы, представление,
871340	875420	если взять там все ключи значения, как бы, разложить их в один файл,
875800	876840	то он будет один и тот же.
877840	886400	И все это, вся вот эта вот база, как бы, она одна и та же при условии наличия на ноде,
886400	889060	вот на этой, одного и того же набора блоков.
889820	893120	И теперь уже переходим, как бы, к тому, как бы, что такое блоки.
895400	902120	Значит, пользователи отправляют свои транзакции сюда, там, не знаю, в какую-то ноду,
902440	909260	они там, как-то там, здесь распространяются по сети, и транзакция, ну, там, не знаю, там, Вася,
910120	917460	с адреса Васи на адрес Пети, как бы, переводит 10 эфира, подписывает это все электронной подписью,
917460	919220	сейчас про нее, как бы, тоже поговорим.
919820	921060	Отправляет куда-то в сеть.
921760	923380	Значит, что происходит в сети?
924320	930680	Эта транзакция распространяется по куче других компьютеров, пока не добирается до компьютера,
930760	932740	который будет производить следующий блок.
933680	939900	К этому моменту на всех этих машинах уже, как бы, какое-то количество блоков есть, там, не знаю, там, есть, там,
940320	942660	все, там, до какого-то этапа, как бы, дошли.
943420	946860	Блоки точно так же по вот этой пиринговой сети распространяются,
946860	949060	то есть, как только какая-то нода видит блок,
949820	955160	она его проверяет, говорит, что он валит, ну, и если он хороший, как бы, то она его передает всем остальным.
955720	959060	Она говорит, я увидела, как бы, новый блок, вот этот, ну, вот здесь вот по два,
959320	964480	там, не знаю, там, 47, 48 блок номера, а вот у этой появился 49.
964480	969420	Она говорит, о, ребята, у меня есть 49, как бы, вот, забирайте, как бы, он хороший, я его проверил.
970420	979720	Вот. Соответственно, если блок, как бы, корявый, то нода, конечно, его просто не пересылает, как бы, поэтому, по сути, как бы, ну, то есть, если кто-то произвел,
979720	987020	какой-то, там, поддельный, как бы, блок, ну, такой, или блок с ошибкой, или блок, который, там, не следует протоколу, короче.
987020	998320	В общем, хотя бы, там, на шаг отступил, как бы, от процедуры, вот, этой проверки блока, то, как бы, его софт, как бы, он даже передавать не будет дальше этот блок, то есть, он так и будет, как бы, там, сидеть.
998320	1009020	Ну, он, конечно, может насильно его передать другим нодам, но, как бы, он его запихал в другую ноду, она тоже его проверила, она честно, она говорит, а я дальше не буду распространять, вот.
1009720	1020660	Соответственно, в блоках находятся пачки транзакций от пользователей, тоже это все, прям, отдельная, большая, как бы, песня, как они процессятся, значит, что там происходит.
1021820	1033280	И вот эти транзакции, когда нода получает хороший валидный блок, они накатываются на вот эту state database последовательно, причем на каждой из вот этих вот машин.
1033280	1039120	То есть, любой компьютер в сети, как бы, он скачал блок, берет оттуда транзакции, конечно, проверяет их.
1039120	1041020	И накатывает на эту базу данных.
1041140	1050020	Вот здесь где-нибудь наша вот эта транзакция, Вася, который переводит Петя, 10 эфира, и у Васи, соответственно, списывается 10 эфира, а Пете добавляется 10 эфира.
1050560	1059520	То есть, это одна транзакция, потом вторая, потом третья, где-то здесь, там, добавляются еще, там, какие-то, там, операции, там, в балансе с данными и так далее.
1060040	1063180	То есть, все это вот так вот, как бы, накатывается на базу данных.
1064640	1069080	Далее, как бы, в блокчейнах есть процедура отката блока, и это не...
1069120	1072980	Ну, не что-то такое прям страшное, как бы, это совершенно штатная процедура.
1072980	1078200	Потому что все компьютеры в этой сети видят друг друга в разное время.
1079040	1084680	И вот у нас один произвел блок, номер там, ну, давайте, 50-й блок он произвел.
1087160	1097620	Давайте я, собственно, как в обычных там лекциях, да, как бы, я, в общем, говорю, что пиринговую сеть с транзакцией можно рассматривать просто как доску объявлений.
1098240	1098980	Публичную совершенно.
1099120	1102540	То есть, везде, как бы, все видят абсолютно, как бы, все транзакции.
1103400	1109180	Вот. Ну, через какое-то время, понятно, разные в разное время, как бы, видят разных версий, но, тем не менее, как бы, все.
1110420	1115560	Транзакция, как бы, она улетела в P2P, она там полностью доступна, как бы, кто угодно ее может скачать.
1116020	1118320	И точно такой же у нас блок с пул.
1118920	1126200	То есть, такой же, как бы, пиринговый, по сути, как бы, пул, в котором те, кто хотят произвести блок, они его публикуют.
1126200	1128200	Вот мы дошли там до блока...
1129120	1129880	Блок номер 49.
1130280	1135440	Вот наша, как бы, транзакция, вот эта Васина, как бы, она, вроде бы, должна попасть в блок номер 49.
1136120	1146660	У нас есть, появился майнер, который пошел в транзакцион-пул, набрал себе в нем, там, сколько-то транзакций, не знаю, там, тысячу, две, как бы, как протоколом определено.
1147160	1151340	Наберет себе 10 тысяч транзакций, как бы, все остальные, как бы, его блок выкинут.
1151580	1159100	Скажет, типа, чувак, по правилам, по спецификации, по коду, как бы, в блоке должно быть не больше, там, двух тысяч транзакций.
1159120	1162320	Как бы, так что, твой блок невалидный, как бы, сам дурак.
1163000	1166940	Вот, поэтому он берет, там, не знаю, там, две тысячи транзакций и создает блок номер 50.
1168340	1170800	Там все эти транзакции перечислены, там, и так далее.
1172980	1186660	Собственно, само слово, как бы, блокчейн, как бы, цепочка блоков, она построена на том, что хэш предыдущего блока включается в хэш следующего блока.
1186660	1188840	То есть, например, в 50-м блоке.
1189120	1192180	Вот здесь, вот, как бы, там, давайте его покрупнее нарисуем.
1193140	1193500	Вот.
1194120	1196280	Здесь находится хэш 49-го блока.
1196400	1199440	А у 49-го, как бы, 48-го, 47-го.
1200000	1204620	Из природы хэширования, сейчас тоже про нее даже чуть-чуть поговорим.
1205460	1211720	Понятно, что, испортив хотя бы один бит вот в этом вот блоке, мы испортим очень сильный его хэш.
1212080	1215620	Соответственно, испортили бит и в этом блоке, испортили бит и в этом блоке.
1215620	1218520	И так вот, как бы, по цепочке вся эта штука прошла.
1219120	1224500	А валидировать блокчейн мы можем, начиная с самого первого блока, с нулевого.
1224620	1227660	У него есть название, специальное, Genesis называется.
1229320	1229840	Genesis.
1230780	1232080	Вот, нулевой блок.
1232620	1241900	И, начиная с него, можно перепроиграть весь блокчейн, вот, прямо все транзакции, начиная, как бы, с первого блока и вот до текущего.
1242500	1249000	Когда вы ставите, как бы, ноду эфира или ноду биткоина, она, ну, понятно, там.
1249120	1271100	Есть куча всяких технических ухищрений, как ускорить этот процесс, но, как бы, в теории, самый, как бы, такой, самый секьюрный и надежный из этих процессов, это прямо берем первый блок, накатываем все транзакции из него, берем первый блок, накатываем все транзакции, второй, третий, миллионный, миллиардный блок и, наконец, доходим до того, который, вот, прямо вот сейчас, как бы, создается.
1271100	1279020	И у нас консистентная StateDB, точно такая же, как у остальных, как бы, все остальные, как бы, видят в этой StateDB ровно то же самое, что и вы.
1279120	1285920	Вот, ну и проверяется, да, вот это наследование блоков проверяется за счет включения хэша предыдущего блока.
1286900	1309100	Вот, значит, вот у нас, как бы, вот этот вот, я его назвал M-Miner, но уже можете отучаться, как бы, от этого слова, вот, уже это так не так уж особо, как бы, популярный эфир, буквально несколько дней было огромное событие в эфире, прям очень серьезное, как бы, это он перешел на Proof of Stake, поэтому никого майнинга не было.
1309120	1318880	И теперь, как бы, в эфире на видеокартах, ну, радостная новость, как бы, да, видеокарты теперь сильно подешевеют, вот, потому что майнить эфир уже будет не нужно.
1321440	1338900	Называются вот эти вот ноды, которые производят блоки, там, не знаю, валидаторы, Validators, там, в эфире во многих сетях, как бы, называются валидаторы, как бы, ну, и еще самое, наверное, точное название было Block Producers, то есть, в одной из сетей, как бы, это было.
1338900	1366760	И, по мне, самое точное название, то есть, это ноды, которые хотят произвести блок в блокчейнах, так как это большая публичная пилинговая система, вы можете, кто угодно может произвести блок, там, ну, при наличии, там, у него определенных ресурсов, если это майнинг, у него должна быть, там, огромная вышлитная мощность, если это Proof of Stake, у него должны быть, там, замороженные, там, деньги на балансе, там, и так далее, и так далее.
1367360	1367960	Вот.
1368900	1371880	Производит вот этот наш майнер 50-й блок.
1371880	1394880	В этот момент второй майнер, глядя тоже на блокчейн вот в этом состоянии, то есть, он тоже докачал пока до 49-го, он тоже производит 50-й блок, он берет другие, как бы, транзакции, ему они, не знаю, больше понравились, и более того, он видит, как бы, этот транзакцион-пул со своего ракурса, то есть, он там, не знаю, в Китае, как бы, а первый майнер в Америке, они видят разные наборы транзакций.
1395560	1398880	Он создал, короче говоря, свой собственный 50-й блок.
1398900	1407840	И в блокчейне, ну, то есть, те, кто следует протоколу, еще раз повторяю, как бы, ноды, они качают этот блок тоже, номер 50-й.
1408320	1415620	И в этот момент как раз начинает работать алгоритм консенсуса, который выбирает из этой цепочки одну и только одну истину.
1416680	1425160	То есть, ну, в разных алгоритмах сделано по-разному, вот, но все вот эти блоки, они все сохраняются.
1425160	1428880	То есть, ну, приходится за безопасность, как бы, да, так платить, как бы, блокчейн.
1428900	1433800	И даже вот эти вот ошметки боковые сохраняют, тем не менее.
1434460	1435300	Значит, почему?
1436780	1443480	Представьте ситуацию, значит, сначала 50-й наш, как бы, ну, сначала первый майнер, как бы, создал блок номер 50.
1444340	1445200	Сеть его приняла.
1445820	1448680	Вот, в этом 50-м блоке была Васина транзакция.
1449220	1454340	Вот она, как бы, Вася доволен, значит, он отправил там кому-то там 10 эфира или недоволен.
1455060	1455420	Вот.
1455420	1458740	А потом пришел второй майнер, и он Васину транзакцию не...
1458900	1459220	Не видел.
1459960	1462600	Он создал 50-й блок без этой транзакции.
1463260	1467460	Но алгоритм консенсуса выбрал его блок как правильный.
1468620	1471580	То есть, в этот момент происходит откат.
1471900	1476780	То есть, если кто в базах данных, то там это называется rollback, откат транзакции.
1477240	1479640	Там, не знаю, в смарт-контракте называется revert.
1480280	1484620	Значит, все эффекты вот этого блока полностью удаляются.
1484620	1488820	То есть, база данных откатывается к предыдущему состоянию, которое было.
1488900	1490100	На 49-й блок.
1490200	1493480	И накатывается, как бы, то, что было в 50-м.
1494020	1496580	То есть, теперь в этом state db состояние новое.
1497520	1502120	Понятно, что не все успели, не все увидели, как бы, вот этот вот 50-й блок.
1502580	1502780	Вот.
1502880	1507620	Но все равно при одном и том же наборе блоков, когда все скачают вот это вот все,
1508020	1512300	у них все равно, как бы, будет вот этот вот state db в одном и только одном состоянии.
1513980	1517800	Возможна ситуация, когда, значит, первый наш майнер не сдается,
